precinct,latitude,longitude,dem_1996,rep_1996,oth_1996,tot_1996,pct_1996,dem_2000,rep_2000,oth_2000,tot_2000,pct_2000,dem_2004,rep_2004,oth_2004,tot_2004,pct_2004,dem_2008,rep_2008,oth_2008,tot_2008,pct_2008,dem_2012,rep_2012,oth_2012,tot_2012,pct_2012,dem_2016,rep_2016,oth_2016,tot_2016,pct_2016,dem_2020,rep_2020,oth_2020,tot_2020,pct_2020
precinct_101,-77.5343503,37.575734900000000,277,807,49,1133,0.255535055,344,786,39,1169,0.304424779,552,1010,10,1572,0.353393086,1023,938,12,1973,0.521672616,929,1049,21,1999,0.46966633,1260,674,201,2135,0.651499483,276,134,16,426,0.673170732
precinct_102,-77.51497042,37.574971630000000,172,591,30,793,0.22542595,208,581,30,819,0.263624842,349,557,6,912,0.385209713,388,506,4,898,0.434004474,415,553,16,984,0.428719008,500,390,98,988,0.561797753,187,241,22,450,0.436915888
precinct_104,-77.50561953,37.569776410000003,204,535,28,767,0.276048714,244,520,20,784,0.319371728,440,1002,6,1448,0.305131761,527,900,10,1437,0.369306237,520,968,20,1508,0.349462366,750,595,164,1509,0.557620818,300,402,18,720,0.427350427
precinct_105,-77.4934877,37.563176050000003,353,783,59,1195,0.310739437,455,787,30,1272,0.366344605,540,779,8,1327,0.409401061,637,627,16,1280,0.503955696,639,679,25,1343,0.484825493,830,450,156,1436,0.6484375,297,261,26,584,0.532258065
precinct_106,-77.50814293,37.555921779999998,190,1036,32,1258,0.15497553,237,1009,26,1272,0.190208668,336,1183,4,1523,0.221198157,417,1083,8,1508,0.278,374,1161,3,1538,0.243648208,568,776,171,1515,0.422619048,179,484,29,692,0.269984917
precinct_111,-77.49511626,37.574949470000000,419,684,53,1156,0.379873073,461,645,53,1159,0.41681736,499,721,9,1229,0.409016393,635,598,12,1245,0.515004055,681,614,27,1322,0.525868726,757,445,103,1305,0.629783694,263,290,11,564,0.475587703
precinct_112,-77.48602499,37.569655330000003,362,550,59,971,0.396929825,324,558,40,922,0.367346939,449,525,6,980,0.460985626,546,456,9,1011,0.54491018,504,470,32,1006,0.517453799,699,323,86,1108,0.683953033,210,201,19,430,0.510948905
precinct_113,-77.47810584,37.563516849999999,683,408,103,1194,0.626031164,641,412,125,1178,0.608736942,898,416,13,1327,0.683409437,1053,356,24,1433,0.747338538,1082,396,37,1515,0.732070365,1256,262,158,1676,0.82740448,494,181,35,710,0.731851852
precinct_114,-77.48113481,37.557994940000000,937,669,125,1731,0.583437111,836,629,162,1627,0.570648464,1174,620,20,1814,0.654403567,1382,502,40,1924,0.733545648,1277,565,65,1907,0.693268187,1447,360,224,2031,0.800774765,468,215,31,714,0.685212299
precinct_115,-77.52426755,37.581523490000002,0,0,0,0,#DIV/0!,0,0,0,0,#DIV/0!,0,0,0,0,#DIV/0!,0,0,0,0,#DIV/0!,0,0,0,0,#DIV/0!,0,0,0,0,#DIV/0!,229,306,21,556,0.428037383
